id,age,sex,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G3
13,17,F,R,GT3,T,2,4,services,health,course,mother,2,9,1,no,no,yes,yes,no,no,yes,yes,1,3,9,5,2,4,0,20
14,17,M,U,LE3,A,4,2,at_home,at_home,reputation,father,4,1,3,yes,yes,no,no,yes,no,no,no,5,3,6,4,5,5,25,7
15,18,M,U,GT3,T,2,1,other,services,home,mother,3,1,3,yes,yes,yes,no,yes,no,no,no,3,4,8,4,3,5,29,4.3
16,15,M,U,GT3,T,4,0,other,at_home,home,other,1,5,1,yes,no,yes,no,yes,no,yes,yes,2,2,8,0,4,4,2,17.7
17,18,M,U,GT3,A,1,2,teacher,at_home,other,mother,3,2,2,no,no,no,no,yes,no,no,no,5,4,6,4,5,4,15,4
18,18,M,U,LE3,A,4,3,at_home,health,course,father,3,5,0,no,yes,yes,no,no,no,no,no,1,3,6,0,4,3,22,2
19,18,F,R,LE3,A,3,1,health,at_home,reputation,other,1,9,1,yes,no,yes,no,no,yes,no,yes,1,5,7,1,3,1,5,20
20,17,F,U,GT3,T,0,2,teacher,other,course,father,1,5,0,yes,no,no,no,yes,no,yes,yes,2,3,9,4,5,5,10,17.2
21,16,M,R,GT3,T,4,4,at_home,teacher,other,other,3,5,1,yes,no,yes,yes,yes,no,yes,no,1,3,6,3,2,5,4,20
22,15,M,U,GT3,A,2,2,other,services,other,father,1,5,0,no,no,yes,no,no,no,yes,yes,1,2,7,0,3,5,6,18.5
23,16,F,U,LE3,A,2,3,other,health,reputation,father,1,2,3,yes,yes,no,yes,yes,no,no,no,5,5,6,2,4,4,14,6
24,18,M,U,LE3,T,4,1,services,at_home,home,mother,4,2,4,yes,yes,no,yes,yes,yes,no,no,3,3,6,5,1,4,12,1.6
25,18,M,U,LE3,A,3,2,health,at_home,other,father,2,5,0,yes,no,no,yes,yes,no,yes,yes,3,4,9,0,2,5,4,18.9
26,16,M,U,GT3,A,4,0,teacher,at_home,home,father,1,8,1,yes,no,yes,yes,yes,no,yes,yes,5,4,7,0,1,4,6,20
27,16,M,U,LE3,T,1,1,services,services,other,mother,4,2,4,yes,yes,yes,yes,no,no,no,yes,4,4,5,5,5,4,25,7
28,16,M,U,GT3,A,3,2,services,teacher,course,other,4,1,4,yes,yes,no,yes,no,no,no,yes,4,4,7,5,4,4,18,5
29,18,F,U,LE3,T,4,2,health,other,reputation,other,2,6,0,yes,no,yes,yes,yes,yes,yes,no,5,1,5,0,4,4,5,19.8
30,18,M,R,GT3,T,0,1,teacher,other,other,father,3,1,4,no,yes,no,no,yes,yes,no,no,2,3,9,4,4,5,17,4.3
31,15,M,U,GT3,T,3,4,teacher,health,course,mother,2,5,0,no,no,no,yes,no,no,yes,no,1,1,7,3,3,5,0,20
32,15,M,R,LE3,A,4,0,other,teacher,other,other,3,1,3,yes,yes,no,yes,no,yes,no,yes,4,3,6,3,5,5,17,3
33,18,F,U,GT3,A,0,1,teacher,teacher,reputation,mother,3,2,4,yes,yes,no,yes,yes,no,no,no,3,4,8,5,3,4,19,6.9
34,16,F,R,GT3,A,4,0,services,services,course,father,1,5,0,yes,no,yes,yes,no,yes,yes,yes,3,5,8,2,4,4,10,14.3
35,16,F,U,GT3,A,1,0,other,at_home,home,mother,2,4,1,yes,no,yes,yes,no,yes,yes,yes,1,4,7,3,1,4,9,15.1
36,15,F,U,LE3,T,2,1,teacher,teacher,other,father,1,9,1,yes,no,yes,yes,no,yes,yes,yes,4,2,6,1,1,4,5,20
37,18,M,U,GT3,T,4,2,health,at_home,other,other,1,1,3,yes,yes,no,no,no,yes,no,yes,5,5,9,4,4,4,26,5
38,15,F,R,LE3,A,3,4,services,services,course,other,3,5,1,yes,yes,no,yes,no,no,no,no,5,3,6,0,5,2,4,8.8
39,15,M,R,LE3,A,4,0,at_home,health,reputation,other,1,3,3,yes,yes,yes,yes,no,no,no,no,5,4,6,3,5,5,23,8
40,17,M,R,GT3,A,4,0,health,health,other,other,1,8,0,yes,no,yes,yes,yes,no,yes,yes,5,1,9,3,4,5,1,20
41,17,F,R,LE3,A,4,2,health,at_home,course,mother,3,1,4,yes,no,no,yes,no,no,no,no,4,4,5,4,5,5,15,4
42,17,F,U,GT3,T,4,1,teacher,at_home,reputation,mother,1,8,1,yes,no,yes,yes,no,yes,yes,yes,4,4,10,0,1,5,2,20
43,16,F,U,LE3,A,3,4,other,teacher,other,mother,1,5,0,yes,no,yes,no,yes,yes,no,no,1,5,6,0,5,3,1,20
44,18,F,U,GT3,T,3,0,other,services,course,father,1,6,1,yes,no,yes,yes,yes,yes,yes,no,5,4,5,0,2,5,9,16.1
45,18,F,R,LE3,A,4,0,services,health,reputation,other,2,4,1,no,no,yes,yes,yes,no,yes,no,1,1,5,2,2,2,1,19.9
46,18,M,U,GT3,A,2,1,teacher,teacher,other,other,3,1,2,yes,yes,no,no,yes,no,no,yes,4,3,6,4,4,5,19,1
47,18,F,R,GT3,A,4,2,other,other,other,other,4,1,4,yes,yes,yes,yes,yes,yes,no,yes,3,3,5,5,1,5,11,9.8
48,17,F,R,GT3,T,3,3,at_home,teacher,reputation,mother,2,5,1,no,no,yes,no,yes,no,yes,no,1,5,10,3,3,5,1,20
49,16,F,R,GT3,A,1,2,teacher,at_home,reputation,mother,3,2,2,yes,yes,no,no,yes,yes,no,no,5,4,9,4,4,4,14,0
50,16,M,R,LE3,T,4,0,teacher,other,course,other,3,2,2,yes,yes,no,no,yes,yes,no,no,5,4,7,5,3,4,17,7
51,17,F,R,LE3,T,4,0,other,teacher,other,father,2,9,1,yes,no,yes,yes,yes,yes,yes,yes,4,3,10,4,5,5,2,20
52,16,M,U,GT3,A,4,4,health,services,other,mother,3,5,1,yes,yes,yes,yes,no,no,no,no,3,3,6,3,5,4,28,0.3
53,17,F,R,LE3,T,4,2,teacher,health,course,other,1,4,2,no,no,yes,no,yes,no,yes,no,5,1,9,2,1,4,0,18.1
54,18,F,R,GT3,T,0,3,health,other,other,other,1,7,1,no,no,yes,no,yes,yes,yes,yes,2,5,10,4,5,4,4,20
55,17,M,U,GT3,T,4,4,services,services,other,other,3,5,0,yes,yes,no,yes,no,no,no,no,3,4,5,0,4,1,10,8.6
56,18,F,R,LE3,A,3,3,services,teacher,other,father,3,5,1,yes,yes,no,yes,no,no,no,no,4,4,5,3,5,4,19,5.1
57,18,M,R,LE3,T,3,4,other,at_home,home,other,3,5,1,yes,yes,no,no,yes,no,no,no,5,3,5,3,1,5,10,8
58,15,M,U,GT3,T,0,2,services,at_home,reputation,mother,4,2,2,yes,yes,no,no,yes,yes,no,no,5,3,5,4,4,5,26,4.5
59,17,M,U,LE3,A,4,0,other,services,home,father,1,5,2,no,no,yes,yes,no,no,yes,yes,5,4,8,2,4,3,0,14.9
60,15,F,U,GT3,A,2,3,other,at_home,home,father,3,1,4,yes,no,yes,no,yes,no,no,no,3,3,9,4,4,4,21,2.4
61,17,F,R,LE3,T,4,2,health,health,reputation,other,2,4,0,no,no,yes,no,yes,no,yes,no,2,2,6,0,3,5,6,16.8
62,17,F,U,LE3,T,3,3,health,services,home,mother,2,5,1,no,no,yes,no,yes,yes,no,yes,1,4,7,0,2,2,12,13.6
63,15,M,U,LE3,T,1,2,services,services,course,mother,2,3,0,no,no,yes,no,yes,yes,yes,yes,4,4,9,1,1,5,3,19.5
64,15,F,U,LE3,T,1,4,health,at_home,home,other,3,1,3,yes,yes,no,no,yes,no,no,no,4,3,7,5,5,5,18,6.7
65,17,M,R,LE3,A,2,2,teacher,services,course,other,2,1,2,yes,no,yes,yes,yes,no,no,yes,5,2,9,5,4,4,24,0
66,16,F,U,GT3,A,4,4,at_home,teacher,reputation,mother,3,5,0,no,no,yes,yes,yes,no,yes,yes,4,4,6,3,4,5,10,14.1
67,18,M,R,LE3,T,0,0,teacher,other,other,father,1,1,1,yes,no,yes,yes,yes,yes,yes,yes,2,3,8,1,3,3,2,17.5
68,15,M,R,LE3,A,4,4,teacher,other,reputation,father,3,5,1,yes,yes,no,yes,no,yes,no,no,3,4,5,0,5,3,20,8
69,18,M,U,GT3,T,2,1,other,at_home,reputation,other,3,1,0,no,no,yes,no,no,yes,yes,yes,2,3,7,1,4,1,4,16.6
70,16,F,R,GT3,A,2,0,at_home,health,home,other,1,6,2,no,no,yes,yes,yes,no,no,yes,5,3,7,0,3,4,6,18.1
71,16,M,R,GT3,A,2,2,other,health,reputation,mother,1,2,0,yes,no,yes,no,yes,yes,yes,yes,2,1,6,1,1,4,0,17.8
72,16,M,U,LE3,T,1,2,health,at_home,reputation,mother,3,1,3,yes,yes,no,yes,yes,yes,no,no,4,4,6,4,2,4,10,13.3
73,15,M,R,LE3,T,4,1,health,at_home,course,mother,2,3,0,yes,no,yes,no,yes,yes,yes,yes,2,4,7,3,1,4,2,20
74,16,M,U,GT3,T,4,2,at_home,services,other,mother,3,2,3,yes,yes,no,no,yes,yes,no,no,5,3,7,5,3,5,18,1
75,15,M,R,GT3,T,0,0,services,health,home,other,3,1,2,yes,yes,no,yes,yes,no,yes,no,4,3,3,3,1,4,14,6
76,16,M,R,GT3,A,2,0,health,other,other,other,1,2,3,no,no,yes,no,no,yes,yes,yes,4,1,4,5,3,5,25,6
77,18,F,U,GT3,A,2,4,teacher,at_home,other,mother,3,1,2,no,yes,no,no,no,no,no,no,5,4,4,2,1,5,9,13.8
78,18,F,U,LE3,T,3,3,at_home,other,other,other,1,5,1,no,no,yes,yes,no,yes,yes,no,5,5,10,3,5,5,23,20
79,17,M,R,LE3,A,3,2,at_home,other,home,other,1,10,0,yes,no,yes,yes,yes,yes,no,no,5,5,7,2,3,3,2,20
80,18,F,R,LE3,A,1,1,health,health,reputation,mother,4,1,3,yes,yes,no,no,yes,yes,no,no,3,4,5,3,2,4,6,10.2
81,17,F,U,LE3,T,4,0,health,other,other,father,3,1,2,yes,yes,no,yes,yes,no,no,yes,5,4,6,4,1,4,12,6
82,18,M,R,LE3,T,0,0,other,services,home,father,4,1,3,yes,yes,no,no,no,yes,no,no,4,4,5,4,4,5,24,0.7
83,15,M,R,GT3,A,0,0,other,services,reputation,mother,4,1,2,no,yes,yes,yes,no,no,no,no,1,3,9,4,4,5,23,2.50E-16
84,18,M,R,LE3,T,2,3,teacher,health,other,father,1,4,1,no,no,yes,no,no,yes,yes,yes,3,1,5,4,3,5,5,17.7
85,17,F,R,GT3,T,0,3,at_home,services,course,other,3,1,4,yes,yes,no,yes,yes,no,no,no,3,3,9,5,4,5,29,4.7
86,17,M,U,GT3,A,2,2,services,at_home,home,father,1,7,1,yes,no,yes,yes,no,yes,yes,yes,1,2,9,2,5,2,4,20
87,16,F,U,GT3,A,4,1,services,health,other,mother,1,1,4,no,no,yes,yes,no,no,no,yes,2,5,7,4,5,4,22,19.6
88,15,M,U,LE3,T,0,3,at_home,other,home,mother,2,6,1,no,yes,no,no,no,no,yes,yes,3,1,6,3,2,5,8,17
89,18,F,U,GT3,A,2,4,teacher,at_home,course,father,1,1,2,no,no,yes,yes,no,yes,no,yes,3,3,5,5,5,5,11,13.9
90,16,M,U,LE3,T,4,3,other,health,home,father,4,5,0,yes,yes,no,yes,yes,yes,no,yes,5,3,5,0,4,3,21,3.2
91,18,M,U,GT3,T,4,0,other,other,reputation,other,2,2,4,no,no,yes,no,yes,no,no,no,4,2,7,3,4,5,26,12.5
92,18,F,R,LE3,A,2,1,other,other,other,father,1,1,2,yes,yes,no,yes,yes,yes,no,no,3,4,5,4,3,5,26,1.3
93,16,F,U,GT3,A,2,2,services,other,home,father,3,1,3,no,no,no,no,no,yes,no,yes,2,3,5,5,3,5,17,2.2
94,16,F,R,LE3,T,1,3,services,other,home,father,3,1,1,yes,yes,no,yes,no,yes,no,no,5,4,6,4,1,5,7,6.2
95,16,F,R,GT3,T,4,0,teacher,other,other,other,4,1,3,yes,yes,no,yes,no,no,no,yes,3,4,7,4,3,4,19,5.7
96,16,F,R,GT3,T,2,4,services,health,course,father,2,8,1,yes,no,no,yes,yes,no,yes,no,3,3,6,0,5,4,5,20
97,16,F,U,GT3,A,4,4,health,services,course,other,2,5,1,yes,no,yes,no,yes,yes,no,no,2,3,5,0,5,1,29,20
98,18,M,R,GT3,T,0,2,services,other,other,other,3,1,3,yes,yes,no,yes,yes,yes,no,yes,4,3,9,5,3,4,17,5
99,16,F,U,LE3,A,3,2,other,at_home,other,mother,4,1,3,yes,yes,no,no,yes,no,yes,yes,5,4,4,3,4,5,28,9
100,15,M,R,LE3,T,3,3,teacher,health,reputation,mother,4,5,0,yes,yes,no,yes,no,yes,no,no,3,4,4,3,5,5,5,4.9
101,17,M,R,LE3,A,2,2,at_home,teacher,home,other,4,1,3,yes,yes,no,yes,no,yes,no,yes,4,4,7,4,3,5,17,5
102,16,F,U,GT3,T,2,0,at_home,services,home,other,3,2,4,yes,no,no,no,yes,no,no,no,4,3,8,4,5,4,16,6
103,16,M,R,GT3,A,4,0,teacher,at_home,course,other,1,10,1,yes,yes,yes,no,no,yes,yes,no,4,2,6,1,5,5,10,20
104,18,F,R,GT3,T,2,0,health,other,reputation,mother,3,2,4,yes,yes,no,yes,yes,no,no,no,1,3,5,5,3,4,20,6.8
105,16,F,R,GT3,T,4,3,at_home,health,home,other,1,5,1,no,no,yes,no,yes,yes,yes,no,1,1,10,3,2,5,3,20
106,16,M,R,GT3,T,2,3,other,health,reputation,mother,4,1,2,yes,yes,no,no,yes,no,no,no,3,4,6,5,3,4,26,2.7
107,16,M,U,GT3,T,4,2,at_home,other,other,mother,3,2,3,yes,yes,no,yes,yes,no,no,no,4,4,7,5,4,5,28,0
108,18,F,R,LE3,A,2,3,at_home,at_home,home,other,4,2,3,yes,yes,no,no,yes,yes,no,yes,5,3,5,5,5,5,14,6
109,16,F,R,LE3,A,1,0,other,health,other,other,4,1,4,yes,yes,no,no,yes,no,no,no,4,4,6,5,3,5,19,0
110,17,M,U,LE3,A,4,1,services,services,course,other,3,2,4,yes,yes,no,yes,no,yes,no,yes,3,3,6,5,5,4,16,6.1
111,18,M,R,LE3,A,1,0,health,at_home,course,mother,1,1,3,no,no,yes,yes,yes,no,no,no,4,2,5,5,3,4,24,5
112,17,M,R,LE3,A,1,1,other,other,other,father,4,1,3,yes,yes,no,no,no,no,no,no,4,4,6,4,5,5,11,7.1
113,18,M,R,LE3,T,1,2,other,at_home,course,other,3,1,4,yes,yes,yes,no,yes,no,no,no,5,4,9,4,5,5,29,0
114,16,F,R,LE3,A,1,4,teacher,at_home,other,father,3,1,2,yes,yes,yes,no,yes,yes,no,no,5,4,7,2,3,5,10,13.7
115,17,F,U,LE3,A,0,3,health,teacher,other,father,3,1,1,yes,no,no,yes,yes,no,no,yes,2,3,7,3,2,4,7,12.4
116,18,F,R,GT3,A,3,3,services,other,other,father,1,5,0,yes,no,yes,no,yes,yes,no,yes,1,5,9,3,4,5,16,15.3
117,15,F,U,GT3,A,0,0,other,services,course,father,2,1,1,yes,no,yes,yes,no,no,yes,yes,5,1,5,4,4,4,4,16.6
118,16,M,R,GT3,T,2,0,services,other,course,father,3,1,4,yes,yes,no,yes,yes,no,no,no,3,3,9,5,4,4,26,3.4
119,18,M,R,GT3,T,2,1,other,teacher,course,mother,3,1,2,yes,yes,no,no,no,no,no,no,3,3,5,3,4,4,11,6.1
120,15,F,R,GT3,T,3,3,other,other,other,mother,3,5,1,yes,yes,yes,no,yes,yes,no,no,3,3,5,3,1,5,15,9.4
121,18,F,U,GT3,T,3,2,teacher,other,reputation,mother,1,1,2,yes,yes,yes,no,yes,no,no,yes,3,1,8,4,3,5,24,7
122,15,F,R,GT3,A,3,0,at_home,services,course,father,3,1,3,yes,yes,no,no,no,yes,no,yes,5,4,6,5,4,5,15,7
123,16,F,R,LE3,A,1,3,health,teacher,reputation,mother,4,1,4,yes,yes,no,no,no,no,no,no,4,4,5,5,3,5,16,2
124,17,F,U,LE3,T,0,4,teacher,other,course,other,1,2,0,yes,yes,yes,yes,no,no,yes,no,4,5,4,1,2,3,9,13.1
125,15,F,U,GT3,T,2,1,services,other,home,father,2,4,0,no,no,yes,no,no,yes,yes,yes,2,4,6,0,3,5,9,17.5
126,18,F,U,LE3,A,0,0,other,health,home,other,2,10,1,no,no,yes,no,yes,yes,yes,yes,2,2,7,1,1,3,2,20
127,16,F,U,LE3,A,0,0,other,other,home,father,1,5,1,no,no,yes,yes,no,yes,no,no,3,5,5,4,1,5,10,16
128,15,F,R,LE3,T,0,2,health,services,reputation,father,3,1,2,yes,yes,no,yes,no,no,no,yes,1,4,7,5,4,4,27,5.9
129,18,M,R,LE3,T,3,0,teacher,health,course,father,4,2,3,yes,yes,no,yes,no,no,no,yes,4,4,7,4,4,4,11,6.6
130,18,F,R,LE3,T,3,3,teacher,teacher,other,father,3,5,0,yes,yes,no,yes,yes,yes,no,yes,4,4,9,0,5,1,19,6.7
131,18,M,R,GT3,T,2,3,services,at_home,reputation,other,1,9,0,no,no,yes,yes,no,yes,yes,no,3,3,8,0,5,4,1,20
132,15,M,U,LE3,A,2,3,teacher,services,course,father,2,4,1,yes,no,yes,no,yes,yes,yes,no,5,3,8,4,5,5,8,15.6
133,15,F,R,GT3,A,2,4,teacher,teacher,home,father,1,6,2,no,no,yes,yes,no,no,yes,yes,5,4,7,0,5,4,0,19.7
134,15,F,R,GT3,A,0,4,at_home,health,reputation,mother,1,7,1,no,no,yes,yes,yes,no,yes,no,3,2,9,1,2,1,3,20
135,17,M,R,GT3,T,3,0,health,at_home,course,father,2,5,0,no,yes,yes,yes,no,no,yes,no,5,4,6,5,3,4,9,14.6
136,15,M,R,LE3,A,1,4,teacher,teacher,other,father,3,2,4,yes,no,yes,no,no,no,no,no,3,3,7,5,4,4,27,2
137,15,F,U,GT3,A,0,4,services,services,reputation,father,3,2,4,yes,yes,yes,yes,yes,no,no,yes,2,3,9,5,2,5,12,5.9
138,15,M,R,GT3,T,4,2,other,health,other,father,3,2,2,yes,yes,no,no,yes,yes,no,no,3,3,5,4,4,5,18,3.1
139,17,F,R,GT3,T,0,4,teacher,services,reputation,father,4,1,2,yes,yes,yes,no,yes,yes,no,yes,4,3,5,4,3,5,25,6
140,15,F,R,GT3,T,3,1,teacher,services,home,father,2,2,3,no,no,yes,no,yes,yes,no,no,3,2,6,0,5,4,24,20
141,18,F,U,LE3,T,4,1,other,health,home,other,4,1,4,yes,yes,yes,no,no,no,no,no,3,4,7,4,5,4,28,4.5
142,15,M,U,GT3,T,0,1,at_home,other,home,other,1,1,4,yes,no,yes,no,no,no,no,no,1,2,8,0,4,4,26,19.9
143,18,M,R,GT3,T,3,0,health,services,other,father,2,10,1,no,no,yes,yes,no,no,yes,yes,4,2,7,2,3,4,2,20
144,18,F,R,GT3,A,3,3,at_home,health,home,other,4,5,0,yes,yes,yes,no,no,no,no,yes,5,3,6,3,3,5,22,4.1
145,18,M,R,GT3,A,1,2,services,services,other,mother,2,1,0,yes,no,yes,no,no,no,yes,no,3,1,8,3,3,5,10,11.1
146,17,M,U,LE3,A,0,0,teacher,other,other,mother,1,4,0,yes,no,yes,yes,no,no,yes,no,2,1,8,0,4,4,1,20
147,17,M,R,GT3,A,3,3,at_home,health,other,father,2,5,0,no,no,yes,yes,no,yes,no,no,4,1,8,3,3,5,7,14.4
148,17,M,R,GT3,A,2,2,health,teacher,home,father,3,1,2,yes,yes,no,no,yes,yes,no,yes,4,4,7,3,3,5,1,10.1
149,15,M,R,GT3,A,3,2,services,teacher,course,other,2,2,3,yes,no,yes,yes,yes,yes,no,yes,4,1,8,5,5,4,25,14.2
150,18,M,U,GT3,T,1,2,at_home,teacher,other,mother,3,2,4,yes,yes,yes,no,no,no,no,no,5,4,5,4,5,5,24,6
151,17,M,R,GT3,T,3,1,teacher,at_home,course,father,1,1,1,yes,no,yes,yes,no,yes,yes,yes,2,5,8,3,3,5,8,14.9
152,17,F,R,GT3,T,0,1,health,services,other,mother,4,1,2,yes,yes,yes,no,yes,no,no,no,5,3,9,5,4,4,24,2
153,15,M,U,LE3,A,0,1,teacher,services,home,other,4,2,2,no,yes,no,no,no,no,no,yes,2,4,8,5,2,4,12,7
154,17,M,U,GT3,A,4,2,teacher,health,home,father,3,1,2,yes,yes,yes,no,yes,no,no,no,3,3,5,4,3,5,28,0.4
155,15,M,R,LE3,T,0,2,services,at_home,home,father,4,1,2,yes,yes,no,yes,no,yes,no,no,4,3,5,5,4,4,21,2
156,16,M,U,LE3,T,4,1,health,services,reputation,father,1,2,2,no,no,yes,yes,yes,no,no,no,4,4,9,4,4,4,22,4
157,17,M,R,GT3,T,2,2,other,health,home,mother,3,1,2,yes,yes,no,yes,yes,yes,no,no,5,3,9,4,4,5,27,7
158,16,M,U,LE3,T,1,1,teacher,other,course,other,4,2,3,no,yes,no,yes,yes,no,no,no,4,3,8,4,3,4,13,8.4
159,15,M,U,GT3,T,2,1,health,services,other,mother,3,1,3,yes,yes,no,no,yes,yes,no,yes,5,4,6,4,5,5,19,3
160,18,M,R,LE3,A,4,1,teacher,services,course,mother,3,1,1,yes,no,no,yes,yes,no,no,yes,5,4,6,3,2,4,15,5.8
161,17,F,R,GT3,A,3,3,at_home,other,reputation,father,2,5,1,yes,no,yes,yes,yes,yes,yes,yes,5,4,4,3,5,4,10,15
162,15,M,R,LE3,A,3,2,at_home,other,course,other,4,1,2,no,yes,yes,no,yes,yes,no,no,5,3,7,5,1,4,15,4
163,18,M,U,LE3,T,2,0,health,services,other,other,2,5,0,no,no,yes,no,yes,no,yes,yes,3,4,4,1,4,4,10,14.3
164,18,M,R,GT3,A,3,1,services,other,other,father,4,2,3,yes,yes,no,yes,no,no,no,yes,4,4,7,5,4,5,17,2
165,16,M,R,LE3,T,4,0,other,health,home,other,3,1,3,yes,yes,no,no,yes,no,no,no,5,3,8,5,5,5,18,4
166,15,F,R,LE3,A,1,3,at_home,services,reputation,father,3,2,2,yes,yes,no,yes,yes,yes,no,no,5,4,8,5,5,4,18,9
167,18,F,R,LE3,T,0,2,services,services,reputation,father,3,1,3,yes,yes,no,yes,no,yes,no,no,5,3,3,3,3,5,12,6
168,17,F,R,LE3,T,4,1,other,teacher,course,other,2,4,1,yes,no,yes,yes,no,yes,yes,no,4,3,8,0,1,4,0,17.3
169,17,F,U,LE3,A,4,1,at_home,services,home,other,2,9,1,no,no,yes,no,no,no,no,yes,4,4,6,2,3,3,2,20
170,16,F,R,GT3,A,0,1,other,teacher,home,other,4,1,4,yes,yes,no,no,no,yes,no,no,4,3,5,4,2,5,14,1
171,18,F,R,LE3,A,0,0,teacher,other,home,other,1,1,4,yes,no,yes,no,no,no,no,no,5,2,8,4,5,5,19,6
172,15,F,U,LE3,A,1,3,health,other,other,mother,1,4,0,yes,no,yes,no,no,yes,yes,no,2,2,5,3,5,4,3,16.1
173,17,F,R,GT3,A,1,2,at_home,health,reputation,father,1,2,1,no,no,yes,no,yes,no,no,no,5,3,9,5,5,5,18,18
174,18,F,R,GT3,T,1,3,at_home,teacher,course,father,3,1,3,yes,yes,no,yes,no,no,no,yes,3,3,8,4,3,5,15,6.3
175,18,F,R,GT3,A,3,1,teacher,services,course,father,3,1,3,no,no,no,yes,no,no,no,no,1,3,8,2,1,2,9,13.1
176,16,F,R,LE3,A,4,3,at_home,teacher,course,father,2,5,1,yes,no,yes,no,no,no,yes,yes,1,3,9,0,4,2,3,20
177,17,F,R,LE3,T,0,0,at_home,other,home,mother,2,6,1,yes,no,yes,yes,no,yes,yes,no,5,2,7,2,4,5,10,19
178,17,F,U,LE3,A,4,4,at_home,other,reputation,other,3,5,1,no,no,yes,yes,no,no,no,yes,3,3,10,0,5,0,3,20
179,15,F,U,LE3,T,4,4,at_home,health,reputation,other,1,5,1,no,no,yes,no,yes,yes,yes,no,2,1,6,3,5,5,2,18.2
180,17,F,U,GT3,A,1,2,at_home,other,other,other,1,8,1,yes,yes,yes,no,no,yes,no,no,3,3,9,2,1,2,4,20
181,15,F,R,GT3,A,1,2,services,teacher,other,father,3,1,4,yes,yes,no,no,yes,no,no,no,5,3,9,5,2,4,11,4.9
182,17,M,U,LE3,T,4,3,at_home,services,other,mother,2,5,1,yes,no,yes,yes,yes,no,no,no,4,3,8,3,3,5,18,15.3
183,16,F,R,LE3,A,1,2,teacher,services,course,mother,4,1,3,yes,yes,no,no,yes,yes,no,no,3,4,4,1,5,3,7,4.5
184,17,M,R,LE3,A,3,0,at_home,teacher,course,other,3,2,3,yes,yes,no,yes,yes,yes,no,no,3,4,9,5,4,4,28,2.2
185,15,F,R,LE3,A,0,1,other,health,reputation,father,3,1,3,yes,yes,no,no,no,yes,no,no,4,4,2,4,3,5,26,9
186,15,F,U,GT3,A,4,1,other,services,other,other,2,5,0,no,yes,yes,no,yes,no,yes,yes,4,1,8,5,2,4,2,19.2
187,16,M,U,GT3,T,0,3,teacher,teacher,course,father,1,3,0,yes,no,yes,no,no,yes,yes,yes,1,3,6,3,5,5,9,15.6
188,17,F,U,LE3,T,3,1,services,teacher,other,other,3,2,3,yes,yes,no,no,yes,yes,no,no,4,3,5,4,3,4,18,7
189,17,M,R,GT3,A,1,3,teacher,other,other,other,1,2,4,yes,yes,no,no,no,yes,no,yes,3,3,5,4,4,4,23,2
190,16,M,U,LE3,A,2,2,services,other,reputation,mother,3,1,2,yes,yes,yes,yes,no,no,no,yes,2,4,8,4,3,4,27,2.3
191,17,M,R,LE3,T,3,2,health,health,reputation,father,2,8,0,no,no,yes,yes,no,yes,yes,yes,2,1,10,2,5,4,0,20
192,17,F,U,GT3,T,2,0,other,health,course,mother,3,2,3,yes,yes,no,no,yes,yes,no,no,3,4,6,4,4,4,14,8.1
