id,age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G3,sex.e,famsize.e,Pstatus.e,Mjob.e,Fjob.e,reason.e,guardian.e,schoolsup.e,famsup.e,paid.e,activities.e,nursery.e,higher.e,internet.e,romantic.e,result
19,18,3,1,1,9,1,1,5,2,1,3,1,5,18,0,1,0,1,0,3,2,1,0,1,0,0,1,0,1,1
20,17,0,2,1,5,0,2,3,5,4,5,1,10,14,0,0,1,4,2,0,0,1,0,0,0,1,0,1,1,1
21,16,4,4,3,10,0,1,1,1,4,2,4,4,17,1,0,1,0,4,2,2,1,0,1,1,1,0,1,0,1
22,15,2,2,1,5,0,1,2,3,5,3,5,6,15,1,0,0,2,3,2,0,0,0,1,0,0,0,1,1,1
23,16,2,3,1,2,3,5,5,2,2,4,3,14,8,0,1,0,2,1,3,0,1,1,0,1,1,0,0,0,0
24,18,4,1,4,2,3,1,5,3,5,1,4,12,2,1,1,1,3,0,1,1,1,1,0,1,1,1,0,0,0
25,18,3,2,2,5,0,3,4,5,5,2,5,4,15,1,1,0,1,0,2,0,1,0,0,1,1,0,1,1,1
26,16,4,0,1,8,1,5,4,2,5,1,1,6,16,1,0,0,4,0,1,0,1,0,1,1,1,0,1,1,1
27,16,1,1,4,1,1,5,5,3,1,3,5,25,5,1,1,1,3,3,2,1,0,1,0,1,0,0,0,1,0
28,16,3,2,4,3,3,2,2,1,3,2,2,18,6,1,0,0,3,4,0,2,1,1,0,1,0,0,0,1,0
29,18,4,2,2,6,0,5,1,1,5,4,3,5,15,0,1,1,1,2,3,2,1,0,1,1,1,1,1,0,1
30,18,0,1,3,3,2,2,4,5,4,4,2,17,4,1,0,1,4,2,2,0,0,1,0,0,1,1,0,0,0
31,15,3,4,2,9,0,1,1,2,4,3,2,0,17,1,0,1,4,1,0,1,0,0,0,1,0,0,1,0,1
32,15,4,0,3,1,3,4,2,2,4,1,5,17,7,1,1,0,2,4,2,2,0,1,0,1,0,1,1,1,0
33,18,0,1,3,3,3,3,1,1,1,5,5,19,7,0,0,0,4,4,3,1,1,1,0,1,1,0,0,0,0
34,16,4,0,1,5,0,3,5,5,2,4,4,10,11,0,0,0,3,3,0,0,1,0,1,1,0,1,1,1,1
35,16,1,0,2,4,1,1,4,4,3,1,1,9,13,0,0,0,2,0,1,1,1,0,1,1,0,1,1,1,1
36,15,2,1,1,9,1,4,2,1,1,1,3,5,16,0,1,1,4,4,2,0,1,0,1,1,0,1,1,1,1
37,18,4,2,1,3,2,5,5,1,2,2,2,26,2,1,0,1,1,0,2,2,1,1,0,0,0,1,0,1,0
38,15,3,4,3,3,2,4,2,3,3,5,5,4,7,0,1,0,3,3,0,2,0,1,0,1,0,0,0,0,0
39,15,4,0,1,3,3,5,4,5,5,3,1,23,1,1,1,0,0,1,3,2,1,1,0,1,0,1,0,0,0
40,17,4,0,1,8,0,5,1,4,3,4,4,1,16,1,0,0,1,1,2,2,1,0,1,1,1,0,1,1,1
41,17,4,2,3,1,0,5,2,5,5,5,5,15,8,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0
42,17,4,1,1,8,1,4,4,5,5,1,4,2,17,0,0,1,4,0,3,1,1,0,1,1,0,1,1,1,1
43,16,3,4,1,8,0,1,5,1,1,5,5,1,16,0,1,0,2,4,2,1,1,0,1,0,1,1,0,0,1
44,18,3,0,1,6,1,5,4,1,5,2,3,9,12,0,0,1,2,3,0,0,1,0,1,1,1,1,1,0,1
45,18,4,0,2,4,1,1,1,1,2,2,2,1,17,0,1,0,3,1,3,2,0,0,1,1,1,0,1,0,1
46,18,2,1,3,2,2,5,4,3,3,1,4,19,9,1,0,0,4,4,2,2,0,1,0,0,1,0,0,1,0
47,18,4,2,4,3,2,1,5,4,4,1,4,11,9,0,0,0,2,2,2,2,0,1,1,1,1,1,0,1,0
48,17,3,3,2,9,1,1,5,4,3,3,4,1,20,0,0,1,0,4,3,1,0,0,1,0,1,0,1,0,1
49,16,1,2,3,1,2,1,2,5,4,4,5,14,6,0,0,0,4,0,3,1,0,1,0,0,1,1,0,0,0
50,16,4,0,3,2,2,2,5,1,3,4,4,17,1,1,1,1,4,2,0,2,0,1,0,0,1,1,1,0,0
51,17,4,0,2,9,1,4,3,5,4,5,5,2,18,0,1,1,2,4,2,0,1,0,1,1,1,1,1,1,1
52,16,4,4,3,4,2,5,5,1,5,4,5,28,0,1,0,0,1,3,2,1,1,1,0,1,0,1,0,0,0
53,17,4,2,1,4,2,5,1,5,2,1,3,0,15,0,1,1,4,1,0,2,0,0,1,0,1,0,1,0,1
54,18,0,3,1,7,1,2,5,5,4,5,5,4,18,0,0,1,1,2,2,2,0,0,1,0,1,1,1,1,1
55,17,4,4,3,3,3,1,2,3,3,4,1,10,8,1,0,1,3,3,2,2,1,1,0,1,0,0,0,0,0
56,18,3,3,3,1,3,1,5,3,1,3,4,19,7,0,1,0,3,4,2,0,1,1,0,1,0,0,0,0,0
57,18,3,4,3,1,1,5,4,5,3,1,2,10,8,1,1,1,2,0,1,2,0,1,0,0,1,0,1,0,0
58,15,0,2,4,3,2,3,4,1,4,1,4,26,5,1,0,1,3,0,3,1,0,1,0,0,1,1,0,0,0
59,17,4,0,1,5,2,5,4,5,2,4,1,0,11,1,1,0,2,3,1,0,0,0,1,1,0,0,1,1,1
60,15,2,3,3,2,2,5,3,1,1,3,5,21,3,0,0,0,2,0,1,0,1,0,0,0,1,1,0,0,0
61,17,4,2,2,4,0,2,2,2,5,3,3,6,14,0,1,1,1,1,3,2,0,0,1,0,1,0,1,0,1
62,17,3,3,2,5,1,1,4,4,2,2,5,12,11,0,1,1,1,3,1,1,0,0,1,0,1,1,1,1,1
63,15,1,2,2,3,0,4,4,5,1,1,3,3,17,1,1,1,3,3,0,1,0,0,1,0,1,1,1,1,1
64,15,1,4,3,2,2,5,4,2,4,1,2,18,7,0,1,1,1,0,1,2,0,1,0,0,1,0,0,0,0
65,17,2,2,2,6,0,5,2,5,2,4,4,24,14,1,1,0,4,3,0,2,1,0,1,1,1,0,1,1,1
66,16,4,4,3,5,1,4,4,3,5,4,5,10,11,0,0,0,0,4,3,1,0,0,1,1,1,0,1,1,1
67,18,0,0,1,1,1,2,3,4,1,3,3,2,17,1,1,1,4,2,2,0,1,0,1,1,1,1,1,1,1
68,15,4,4,3,2,3,3,4,5,4,1,3,20,9,1,1,0,4,2,3,0,1,1,0,1,0,1,0,0,0
69,18,2,1,3,1,0,2,1,3,1,4,1,4,16,1,0,1,2,0,3,2,0,0,1,0,0,1,1,1,1
70,16,2,0,1,6,2,5,3,3,5,3,1,6,14,0,0,0,0,1,1,2,0,0,1,1,1,0,0,1,1
71,16,2,2,1,2,0,2,1,2,1,1,4,0,16,1,0,0,2,1,3,1,1,0,1,0,1,1,1,1,1
72,16,1,2,3,6,3,4,4,3,4,2,3,10,10,1,1,1,1,0,3,1,1,1,0,1,1,1,0,0,1
73,15,4,1,2,3,0,2,4,2,3,1,2,2,19,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1
74,16,4,2,3,4,2,5,2,1,1,2,3,18,9,1,0,1,0,3,2,1,1,1,0,0,1,1,0,0,0
75,15,0,0,3,3,2,4,1,1,3,1,3,14,8,1,0,1,3,1,1,2,1,1,0,1,1,0,1,0,0
76,16,2,0,1,2,3,4,1,1,1,3,5,25,13,1,0,0,1,2,2,2,0,0,1,0,0,1,1,1,1
77,18,2,4,3,6,2,5,5,1,2,1,5,9,10,0,0,0,4,0,2,1,0,1,0,0,0,0,0,0,1
78,18,3,3,1,9,2,5,5,5,2,4,1,23,16,0,1,1,0,2,2,2,0,0,1,1,0,1,1,0,1
79,17,3,2,1,10,0,5,5,2,2,3,5,2,16,1,1,0,0,2,1,2,1,0,1,1,1,1,0,0,1
80,18,1,1,4,3,3,3,5,1,3,2,3,6,9,0,1,0,1,1,3,1,1,1,0,0,1,1,0,0,0
81,17,4,0,3,2,3,5,1,3,4,1,5,12,6,0,1,1,1,2,2,0,1,1,0,1,1,0,0,1,0
82,18,0,0,4,1,3,2,2,2,5,2,1,24,3,1,1,1,2,3,1,0,1,1,0,0,0,1,0,0,0
83,15,0,0,4,1,2,1,5,5,4,4,4,23,2,1,0,0,2,3,3,1,0,1,0,1,0,0,0,0,0
84,18,2,3,1,4,1,3,1,1,4,3,2,5,15,1,1,1,4,1,2,0,0,0,1,0,0,1,1,1,1
85,17,0,3,3,4,3,3,2,2,1,2,3,29,5,0,0,1,0,3,0,2,1,1,0,1,1,0,0,0,0
86,17,2,2,1,7,1,1,2,4,2,5,2,4,20,1,0,0,3,0,1,0,1,0,1,1,0,1,1,1,1
87,16,4,1,1,7,0,2,5,1,1,1,4,22,16,0,0,0,3,1,2,1,0,0,1,1,0,0,1,1,1
88,15,0,3,2,6,1,3,1,2,3,2,3,8,13,1,1,1,0,2,1,1,0,1,0,0,0,0,1,1,1
89,18,2,4,1,5,1,3,3,1,3,5,2,11,11,0,0,0,4,0,0,0,0,0,1,1,0,1,1,1,1
90,16,4,3,4,3,2,5,1,4,2,5,4,21,3,1,1,1,2,1,1,0,1,1,0,1,1,1,0,1,0
91,18,4,0,2,5,1,4,2,3,4,4,3,26,11,1,0,1,2,2,3,2,0,0,1,0,1,0,1,0,1
92,18,2,1,1,2,2,3,4,3,1,2,4,26,0,0,1,0,2,2,2,0,1,1,0,1,1,1,0,0,0
93,16,2,2,3,2,3,2,5,4,4,4,3,17,3,0,0,0,3,2,1,0,0,0,0,0,0,1,0,1,0
94,16,1,3,3,1,1,4,2,2,4,1,3,7,6,0,1,1,3,2,1,0,0,1,0,1,0,1,0,0,0
95,16,4,0,4,3,3,1,3,5,5,3,4,19,6,0,0,1,4,2,2,2,0,1,0,1,0,0,0,1,0
96,16,2,4,2,8,1,3,3,1,5,5,1,5,17,0,0,1,3,1,0,0,1,0,0,1,1,0,1,0,1
97,16,4,4,2,7,0,2,3,5,5,2,2,29,18,0,0,0,1,3,0,2,1,0,1,0,1,1,0,0,1
98,18,0,2,3,2,2,1,3,1,1,1,1,17,2,1,0,1,3,2,2,2,0,1,0,1,1,1,1,1,0
99,16,3,2,4,1,3,5,1,5,3,2,5,28,4,0,1,0,2,0,2,1,1,1,0,0,1,0,1,1,0
100,15,3,3,4,1,3,5,2,1,4,5,2,5,5,1,1,1,4,1,3,1,0,1,0,1,0,1,0,0,0
101,17,2,2,4,3,2,4,3,3,5,3,3,17,6,1,1,0,0,4,1,2,1,1,0,1,0,1,0,1,0
102,16,2,0,3,2,3,1,2,1,4,1,2,16,5,0,0,1,0,3,1,2,0,0,0,0,1,0,0,0,0
103,16,4,0,1,10,1,4,2,1,1,5,2,10,17,1,0,0,4,0,0,2,1,1,1,0,0,1,1,0,1
104,18,2,0,3,2,3,1,4,4,5,1,5,20,8,0,0,1,1,2,3,1,1,1,0,1,1,0,0,0,0
105,16,4,3,1,8,0,1,1,4,1,2,1,3,20,0,0,1,0,1,1,2,0,0,1,0,1,1,1,0,1
106,16,2,3,4,3,2,5,4,1,4,5,3,26,3,1,0,1,2,1,3,1,0,1,0,0,1,0,0,0,0
107,16,4,2,3,2,2,4,5,1,5,5,2,28,4,1,0,1,0,2,2,1,1,1,0,1,1,0,0,0,0
108,18,2,3,4,1,3,5,5,2,2,5,1,14,8,0,1,0,0,0,1,2,0,1,0,0,1,1,0,1,0
109,16,1,0,4,1,3,1,5,3,2,3,5,19,5,0,1,0,2,1,2,2,0,1,0,0,1,0,0,0,0
110,17,4,1,3,1,2,5,4,1,5,5,1,16,7,1,1,0,3,3,0,2,0,1,0,1,0,1,0,1,0
111,18,1,0,1,1,0,4,2,1,3,1,5,24,16,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,1
112,17,1,1,4,3,2,4,5,3,4,5,2,11,6,1,1,0,2,2,2,0,1,1,0,0,0,0,1,0,0
113,18,1,2,3,2,2,2,5,2,5,3,3,29,1,1,1,1,2,0,0,2,0,1,0,0,1,1,0,0,0
114,16,1,4,3,6,2,5,4,4,2,3,1,10,10,0,1,0,4,0,2,0,1,1,1,0,1,1,0,0,1
115,17,0,3,3,4,1,2,2,4,3,2,5,7,10,0,1,0,1,4,2,0,1,0,0,1,1,0,0,1,1
116,18,3,3,1,6,0,1,5,3,4,1,3,16,12,0,0,0,3,2,2,0,1,0,1,0,1,1,1,1,1
117,15,0,0,2,1,1,5,1,1,4,4,2,4,16,0,0,0,2,3,0,0,1,0,1,1,0,0,1,1,1
118,16,2,0,3,2,3,3,5,4,4,1,1,26,5,1,0,1,3,2,0,0,0,1,0,1,1,0,0,0,0
119,18,2,1,3,2,2,2,4,1,3,4,4,11,6,1,0,1,2,4,0,1,1,1,0,0,0,0,0,0,0
120,15,3,3,3,3,3,4,4,5,5,1,3,15,9,0,0,1,2,2,2,1,0,1,1,0,1,1,1,0,0
121,18,3,2,1,1,2,2,1,1,4,5,1,24,9,0,0,1,4,2,3,1,0,1,0,0,1,0,0,1,0
122,15,3,0,3,3,3,5,2,4,5,4,5,15,8,0,0,0,0,3,0,0,1,1,0,0,0,1,0,1,0
123,16,1,3,4,2,2,2,1,1,2,1,4,16,6,0,1,0,1,4,3,1,0,1,0,0,0,0,0,0,0
124,17,0,4,1,2,0,4,5,1,1,2,3,9,12,0,1,1,4,2,0,2,1,1,1,1,0,0,1,0,1
125,15,2,1,2,4,0,2,4,2,5,3,4,9,15,0,0,1,3,2,1,0,0,0,1,0,0,1,1,1,1
126,18,0,0,2,10,1,2,2,2,1,1,3,2,16,0,1,0,2,1,1,2,0,0,1,0,1,1,1,1,1
127,16,0,0,1,5,1,3,5,1,4,1,2,10,13,0,1,0,2,2,1,0,0,0,1,1,0,1,0,0,1
128,15,0,2,3,3,3,1,1,3,5,3,5,27,7,0,1,1,1,3,3,0,1,1,0,1,0,0,0,1,0
129,18,3,0,4,4,3,4,5,3,5,4,5,11,5,1,1,1,4,1,0,0,1,1,0,1,0,0,0,1,0
130,18,3,3,3,3,3,1,1,3,4,4,2,19,7,0,1,1,4,4,2,0,1,1,0,1,1,1,0,1,0
131,18,2,3,1,9,0,3,3,3,5,5,3,1,17,1,0,1,3,0,3,2,0,0,1,1,0,1,1,0,1
132,15,2,3,2,4,1,5,3,4,4,5,3,8,13,1,1,0,4,3,0,0,1,0,1,0,1,1,1,0,1
133,15,2,4,1,6,2,5,4,3,5,5,5,0,15,0,0,0,4,4,1,0,0,0,1,1,0,0,1,1,1
134,15,0,4,1,7,1,3,2,4,1,2,1,3,20,0,0,0,0,1,3,1,0,0,1,1,1,0,1,0,1
135,17,3,0,2,5,0,5,4,3,5,3,3,9,11,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1
136,15,1,4,3,1,2,5,5,1,1,4,2,27,0,1,1,0,4,4,2,0,0,0,0,0,0,1,1,0,0
137,15,0,4,3,1,3,2,3,3,4,2,5,12,7,0,0,0,3,3,3,0,1,1,1,1,1,0,0,1,0
138,15,4,2,3,2,3,2,4,1,4,5,2,18,4,1,0,1,2,1,2,0,1,1,0,0,1,1,0,0,0
139,17,0,4,4,4,2,2,1,1,1,3,2,25,2,0,0,1,4,3,3,0,0,1,1,0,1,1,0,1,0
140,15,3,1,2,9,1,3,2,2,4,5,3,24,16,0,0,1,4,3,1,0,0,0,1,0,1,1,1,0,1
141,18,4,1,4,3,2,5,3,5,4,1,2,28,5,0,1,1,2,1,1,2,0,1,1,0,0,0,0,0,0
142,15,0,1,1,8,0,1,2,5,1,5,5,26,16,1,0,1,0,2,1,2,1,0,1,0,0,0,1,0,1
143,18,3,0,2,10,1,4,2,1,2,3,1,2,18,1,0,1,1,3,2,0,0,0,1,1,0,0,1,1,1
144,18,3,3,4,3,2,5,3,5,3,4,5,22,4,0,0,0,0,1,1,2,1,1,1,0,0,1,1,1,0
145,18,1,2,2,1,0,3,1,5,3,3,4,10,11,1,0,0,3,3,2,1,1,0,1,0,0,0,1,0,1
146,17,0,0,1,4,0,2,1,3,5,4,5,1,20,1,1,0,4,2,2,1,1,0,1,1,0,0,1,0,1
147,17,3,3,2,5,1,4,1,5,1,3,4,7,11,1,0,0,0,1,2,0,0,0,1,1,0,1,0,0,1
148,17,2,2,3,3,2,4,2,5,3,3,3,1,8,1,0,0,1,4,1,0,1,1,0,0,1,1,0,1,0
149,15,3,2,2,2,1,4,1,5,3,4,4,25,15,1,0,0,3,4,0,2,1,0,1,1,1,1,1,1,1
150,18,1,2,3,2,3,1,5,2,1,1,1,24,2,1,0,1,0,4,2,1,1,1,0,0,0,0,0,0,0
151,17,3,1,1,1,1,2,5,5,3,3,3,8,15,1,0,1,4,0,0,0,1,0,1,1,0,1,1,1,1
152,17,0,1,4,1,2,2,1,3,3,3,1,24,1,0,0,1,1,3,2,1,1,1,0,0,1,1,0,0,0
153,15,0,1,4,2,2,2,1,4,5,2,4,12,7,1,1,0,4,3,1,2,0,1,0,0,0,0,0,1,0
154,17,4,2,3,2,2,2,3,2,2,5,3,28,2,1,0,0,4,1,1,0,0,1,0,0,1,1,0,0,0
155,15,0,2,4,1,3,5,3,3,4,2,4,21,3,1,1,1,3,0,1,0,1,1,0,1,0,1,0,0,0
156,16,4,1,1,5,0,4,4,1,4,3,2,22,14,1,1,1,1,3,3,0,0,0,1,1,1,0,1,0,1
157,17,2,2,3,1,3,4,2,3,2,3,1,27,2,1,0,1,2,1,1,1,1,1,0,1,1,1,0,0,0
158,16,1,1,4,4,3,4,2,4,5,3,2,13,7,1,1,1,4,2,0,2,0,1,0,1,1,0,0,0,0
159,15,2,1,3,3,3,3,3,2,2,1,1,19,8,1,0,1,1,3,2,1,0,1,0,0,1,1,0,1,0
160,18,4,1,3,3,1,2,5,4,3,2,1,15,5,1,1,0,4,3,0,1,1,0,0,1,1,0,0,1,0
161,17,3,3,2,6,1,5,4,1,5,5,3,10,11,0,0,0,0,2,3,0,1,0,1,1,1,1,1,1,1
162,15,3,2,4,2,1,5,3,1,1,1,2,15,8,1,1,0,0,2,0,2,0,1,1,0,1,1,0,0,0
163,18,2,0,2,5,0,3,4,1,1,4,4,10,11,1,1,1,1,3,2,2,0,0,1,0,1,0,1,1,1
164,18,3,1,4,3,1,3,2,3,4,3,3,17,6,1,0,0,3,2,2,0,0,1,0,1,0,0,0,1,0
165,16,4,0,3,3,3,4,2,3,2,1,1,18,5,1,1,1,2,1,1,2,1,1,0,0,1,0,0,0,0
166,15,1,3,3,1,2,4,2,5,4,4,4,18,8,0,1,0,0,3,3,0,1,1,0,1,1,1,0,0,0
167,18,0,2,3,3,3,4,5,1,3,3,1,12,7,0,1,1,3,3,3,0,0,1,0,1,0,1,0,0,0
168,17,4,1,2,4,1,4,3,4,5,1,1,0,14,0,1,1,2,4,0,2,1,0,1,1,0,1,1,0,1
169,17,4,1,2,9,1,4,4,1,2,3,4,2,17,0,1,0,0,3,1,2,0,0,1,0,0,0,0,1,1
170,16,0,1,4,3,0,2,3,2,2,2,5,14,4,0,0,0,2,4,1,2,1,1,0,0,0,1,0,0,0
171,18,0,0,1,7,1,5,2,3,3,3,4,19,18,0,1,0,4,2,1,2,1,0,1,0,0,0,1,0,1
172,15,1,3,1,4,0,2,2,1,3,5,3,3,13,0,1,0,1,2,2,1,1,0,1,0,0,1,1,0,1
173,17,1,2,1,2,1,5,3,5,1,5,4,18,18,0,0,0,0,1,3,0,0,0,1,0,1,0,0,0,1
174,18,1,3,3,2,3,1,1,1,5,3,3,15,7,0,0,1,0,4,0,0,0,1,0,1,0,0,0,1,0
175,18,3,1,3,6,3,1,1,5,2,1,2,9,10,0,0,0,4,3,0,0,0,0,0,1,0,0,0,0,1
176,16,4,3,2,7,0,1,3,3,5,4,4,3,20,0,1,0,0,4,0,0,1,0,1,0,0,0,1,1,1
177,17,0,0,2,6,1,5,2,3,2,4,2,10,15,0,1,1,0,2,1,1,1,0,1,1,0,1,1,0,1
178,17,4,4,3,7,1,3,4,5,2,5,4,3,20,0,1,0,0,2,3,2,0,0,1,1,0,0,0,1,1
179,15,4,4,1,4,0,2,1,2,5,5,3,2,15,0,1,1,0,1,3,2,0,0,1,0,1,1,1,0,1
180,17,1,2,1,8,1,3,3,3,2,1,2,4,20,0,0,0,0,2,2,2,1,1,1,0,0,1,0,0,1
181,15,1,2,3,3,3,5,5,5,4,2,5,11,4,0,0,0,3,4,2,0,1,1,0,0,1,0,0,0,0
182,17,4,3,2,5,1,4,3,3,2,5,4,18,13,1,1,1,0,3,2,1,1,0,1,1,1,0,1,0,1
183,16,1,2,4,1,3,3,2,1,1,5,3,7,5,0,1,0,4,3,0,1,1,1,0,0,1,1,0,0,0
184,17,3,0,3,3,3,5,3,4,3,3,3,28,3,1,1,0,0,4,0,2,1,1,0,1,1,1,0,0,0
185,15,0,1,3,3,3,1,1,2,2,2,1,26,0,0,1,0,2,1,3,0,1,1,0,0,0,1,0,0,0
186,15,4,1,2,5,0,4,1,4,5,2,3,2,15,0,0,0,2,3,2,2,0,1,1,0,1,0,1,1,1
187,16,0,3,1,3,0,1,3,2,3,5,3,9,14,1,0,1,4,4,0,0,1,0,1,0,0,1,1,1,1
188,17,3,1,3,3,2,3,4,1,5,3,4,18,4,0,1,1,3,4,2,2,0,1,0,0,1,1,0,0,0
189,17,1,3,1,2,2,3,3,5,5,1,2,23,3,1,0,0,4,2,2,2,1,1,0,0,0,1,0,1,0
190,16,2,2,3,3,2,2,4,5,3,4,4,27,3,1,1,0,3,2,3,1,1,1,0,1,0,1,1,1,0
191,17,3,2,2,8,0,2,1,5,2,5,4,0,16,1,1,1,1,1,3,0,0,0,1,1,0,1,1,1,1
192,17,2,0,3,2,2,5,5,1,2,4,5,14,8,0,0,1,2,1,0,1,1,1,0,0,1,1,0,0,0
193,15,0,1,4,3,3,3,4,4,3,4,5,14,6,0,1,0,2,1,3,1,0,1,0,0,0,0,0,0,0
194,17,4,0,4,6,3,1,3,3,4,4,4,10,10,0,0,1,2,4,2,2,0,1,0,1,1,0,0,0,1
195,17,1,4,2,8,1,2,2,5,2,5,5,3,18,1,1,1,3,4,3,0,0,0,1,0,1,0,1,0,1
196,16,3,0,2,6,1,1,2,3,3,1,1,2,15,1,0,1,4,2,2,0,1,0,0,0,0,0,1,1,1
197,16,1,3,4,3,3,5,3,4,2,2,3,16,8,0,1,1,3,3,2,2,0,1,0,1,1,0,1,0,0
198,18,2,3,1,1,2,1,1,3,5,3,4,16,4,0,0,0,2,1,0,2,0,1,0,1,0,1,0,1,0
199,15,2,0,4,4,2,1,1,3,4,2,2,22,4,0,1,1,2,0,0,2,1,1,0,1,0,0,1,0,0
200,17,4,2,2,8,0,4,1,3,4,3,5,10,19,0,1,0,2,1,0,0,0,0,1,1,0,1,1,0,1
201,17,2,4,2,4,0,5,3,1,2,2,1,3,15,0,0,0,2,2,2,2,0,1,1,1,1,0,1,0,1
202,18,4,0,1,6,2,2,2,4,3,5,5,4,14,1,1,1,1,4,3,2,1,0,1,0,0,0,1,1,1
203,17,3,2,4,2,3,4,5,3,3,5,1,17,8,1,0,0,2,2,0,1,0,1,0,1,0,0,0,0,0
204,15,4,0,2,1,0,3,2,5,1,4,1,2,16,1,0,0,3,2,0,2,1,0,1,1,1,0,1,1,1
205,18,2,1,3,1,2,3,1,5,5,3,1,27,5,0,1,1,2,2,3,2,0,1,0,1,1,1,0,0,0
206,15,0,3,2,9,1,2,3,4,3,1,4,0,17,1,1,1,0,0,3,0,1,1,1,1,1,1,1,1,1
207,18,4,1,3,1,1,5,3,1,5,5,3,19,6,1,1,1,1,0,0,2,0,1,0,1,1,0,0,0,0
208,18,1,1,4,2,1,3,5,3,2,3,4,26,0,1,1,0,2,1,2,0,0,1,0,0,0,1,0,1,0
209,16,0,4,2,3,1,3,2,1,3,5,3,7,13,1,0,0,0,4,2,1,1,0,1,0,1,0,1,0,1
210,15,4,2,3,1,2,3,1,4,1,1,2,11,7,1,1,0,3,2,0,1,0,1,0,1,1,1,0,0,0
211,17,1,3,4,3,2,5,5,2,3,3,5,11,8,0,1,0,1,3,3,0,0,1,0,0,1,0,0,0,0
212,17,0,1,3,9,1,3,1,5,5,4,4,26,20,1,1,1,2,1,2,2,0,0,1,0,1,1,1,0,1
213,15,4,3,4,1,3,2,2,3,4,3,5,26,1,0,0,0,3,1,3,0,1,0,0,0,0,1,0,0,0
214,17,3,2,3,3,1,2,5,3,5,1,5,28,0,0,1,1,0,2,1,2,1,1,0,0,1,0,0,0,0
215,17,1,0,3,1,0,2,1,4,3,4,2,18,4,0,0,1,1,1,3,2,1,1,0,0,1,0,0,1,0
216,15,3,1,2,2,0,4,4,4,2,5,5,13,15,0,1,1,2,2,3,2,0,0,1,1,0,1,1,1,1
217,18,2,2,3,2,3,2,3,1,2,4,3,16,9,0,0,1,3,1,1,0,1,0,0,0,1,1,0,0,0
218,15,4,3,2,3,2,1,2,5,2,5,4,19,1,1,1,0,1,4,2,1,0,1,0,1,0,0,0,1,0
219,18,4,2,3,1,3,3,3,1,5,1,2,24,0,1,1,1,0,1,2,0,1,1,0,1,1,0,0,1,0
220,17,1,0,3,3,3,2,1,4,4,2,3,29,3,0,0,0,2,1,2,2,1,1,0,0,0,0,0,0,0
221,17,4,2,2,8,0,5,5,5,2,2,3,9,17,0,1,1,1,3,0,0,1,0,0,1,0,0,1,1,1
